dataset,method,seed,asset,subset,n,horizon,mse,mae,mape
celebrity,Time-MoE,0,BTC,all,719,1,1.8807619412027456e-05,0.0030623790451813804,0.3059444552154134
celebrity,Time-MoE,0,BTC,all,719,2,4.0046904087184006e-05,0.004605447135150681,0.4597546787571533
celebrity,Time-MoE,0,BTC,all,719,3,6.14719270063598e-05,0.005717338955286315,0.570333478416921
celebrity,Time-MoE,0,BTC,all,719,4,8.358010010122258e-05,0.006710786978624792,0.669052168135523
celebrity,Time-MoE,0,BTC,all,719,5,0.00010656897068534386,0.007650263949461872,0.7625197352606642
celebrity,Time-MoE,0,BTC,all,719,6,0.0001287895955925933,0.008463801196951197,0.843370456485135
celebrity,Time-MoE,0,BTC,all,719,7,0.0001532002682956098,0.009309073151069821,0.9272595062639193
celebrity,Time-MoE,0,BTC,all,719,8,0.00017676353763062535,0.010056490941239995,1.0013700405815555
celebrity,Time-MoE,0,BTC,all,719,9,0.00020039739226336632,0.010702238543806222,1.0651577203569609
celebrity,Time-MoE,0,BTC,all,719,10,0.00022350269881942574,0.011310829489552759,1.1252630865721593
celebrity,Time-MoE,0,BTC,all,719,11,0.00024649890305600096,0.011926650503580362,1.1860779095228962
celebrity,Time-MoE,0,BTC,all,719,12,0.00027047281999610754,0.012490375234288201,1.241681009052568
celebrity,Time-MoE,0,BTC,all,719,13,0.0002937178169251271,0.013007616880706023,1.2927057404873477
celebrity,Time-MoE,0,BTC,all,719,14,0.00031713165816541774,0.013528763833397453,1.3440515090219147
celebrity,Time-MoE,0,BTC,all,719,15,0.00033923700052954,0.014011323286197115,1.3915430741570671
celebrity,Time-MoE,0,BTC,all,719,16,0.00036192603984800125,0.014447136780814435,1.4343246118941382
celebrity,Time-MoE,0,BTC,all,719,17,0.00037992806679096243,0.014765465707208584,1.4655036714852465
celebrity,Time-MoE,0,BTC,all,719,18,0.00039655246962755586,0.015094608275714603,1.4977797326560942
celebrity,Time-MoE,0,BTC,all,719,19,0.0004142340489460882,0.015445105223728653,1.532109323246356
celebrity,Time-MoE,0,BTC,all,719,20,0.00043356845986993305,0.015786931644063,1.5654608582302916
celebrity,Time-MoE,0,BTC,all,719,21,0.00045346050867743626,0.016106650875738832,1.5965113864442748
celebrity,Time-MoE,0,BTC,all,719,22,0.0004746964919196299,0.01640442382642722,1.6252221398188174
celebrity,Time-MoE,0,BTC,all,719,23,0.0004967774464487795,0.016683409873898734,1.6520106053780612
celebrity,Time-MoE,0,BTC,all,719,24,0.0005202677826988638,0.016996315523712627,1.682224724168103
celebrity,Time-MoE,0,BTC,event,163,1,2.0899972109558758e-05,0.003378829707397274,0.3378967920716979
