dataset,method,seed,asset,subset,n,horizon,mse,mae,mape
celebrity,Time-MoE,0,BTC,all,719,avg24,0.0002746499386413834,0.01184514278565837,1.1765513175670244
celebrity,Time-MoE,0,BTC,all,719,1-6,7.321085281412184e-05,0.006035002876776039,0.601829162045135
celebrity,Time-MoE,0,BTC,all,719,7-12,0.00021180593667685595,0.010965942977256227,1.09113487872501
celebrity,Time-MoE,0,BTC,all,719,13-24,0.0004067914825372779,0.015189812644300606,1.506620614748976
celebrity,Time-MoE,0,BTC,event,163,avg24,0.00031022036461197526,0.012728220647951333,1.2647482732107258
celebrity,Time-MoE,0,BTC,event,163,1-6,8.361559212018175e-05,0.0066223382827938215,0.6605298457593767
celebrity,Time-MoE,0,BTC,event,163,7-12,0.00024530433582435054,0.011806413561776127,1.1743874813510953
celebrity,Time-MoE,0,BTC,event,163,13-24,0.0004559807652516843,0.016242065373617692,1.612037882866215
celebrity,Time-MoE,0,DOGE,all,719,avg24,0.002363278412593993,0.033978038821084446,3.3574248973467977
celebrity,Time-MoE,0,DOGE,all,719,1-6,0.000508162775079902,0.016104549653120047,1.6044561240973851
celebrity,Time-MoE,0,DOGE,all,719,7-12,0.001688990452884846,0.030859975114043356,3.059163038523172
celebrity,Time-MoE,0,DOGE,all,719,13-24,0.0036279802112056127,0.044473815258587186,4.383040213383317
celebrity,Time-MoE,0,DOGE,event,98,avg24,0.0030117166347097255,0.03833731228397006,3.7718569221661102
celebrity,Time-MoE,0,DOGE,event,98,1-6,0.0005935899150804405,0.0171937698206934,1.7146612582133953
celebrity,Time-MoE,0,DOGE,event,98,7-12,0.0022964737991935315,0.036205657181285676,3.582917476129848
celebrity,Time-MoE,0,DOGE,event,98,13-24,0.004578401412282465,0.04997491106695058,4.894924477160599
celebrity,Time-MoE,0,ETH,all,719,avg24,0.0017305593938073897,0.025561239465027977,2.475633210401162
celebrity,Time-MoE,0,ETH,all,719,1-6,0.00033458475418854345,0.012367062578059812,1.226817854355473
celebrity,Time-MoE,0,ETH,all,719,7-12,0.0011754306682736475,0.023196644400577608,2.270803032520794
celebrity,Time-MoE,0,ETH,all,719,13-24,0.002706111076383684,0.033340625440737244,3.202455977364192
celebrity,Time-MoE,0,ETH,event,15,avg24,0.004774254832146043,0.03814605640040503,3.553686503103484
celebrity,Time-MoE,0,ETH,event,15,1-6,0.0007080899200240983,0.01596541470951504,1.55621469010217
celebrity,Time-MoE,0,ETH,event,15,7-12,0.003316507243714876,0.03426863153775533,3.24428901264876
celebrity,Time-MoE,0,ETH,event,15,13-24,0.007536211082422599,0.051175089677174886,4.707121154831504
celebrity,Time-MoE,0,SOL,all,719,avg24,0.001028113980351995,0.022506983490469944,2.237727499563896
celebrity,Time-MoE,0,SOL,all,719,1-6,0.0002588219823262524,0.011690760824931238,1.168082729569849
celebrity,Time-MoE,0,SOL,all,719,7-12,0.0007724020774423077,0.02089904419348977,2.0826328630054656
celebrity,Time-MoE,0,SOL,all,719,13-24,0.00154061593081971,0.028719064471729387,2.8500972028401352
celebrity,Time-MoE,0,SOL,event,12,avg24,0.0004611544732252806,0.016141342827015452,1.62268426910297
celebrity,Time-MoE,0,SOL,event,12,1-6,0.00017455167201216624,0.010399757987923093,1.042735623474583
celebrity,Time-MoE,0,SOL,event,12,7-12,0.0004019327379340471,0.014891785879929861,1.4949795333903813
celebrity,Time-MoE,0,SOL,event,12,13-24,0.0006340667414774545,0.01963691372010443,1.9765109597734585
celebrity,Time-MoE,0,Pooled,all,2876,avg24,0.0013491504313486906,0.023472851140560184,2.3118342312197204
celebrity,Time-MoE,0,Pooled,all,2876,1-6,0.0002936950911022049,0.011549343983221784,1.1502964675169605
celebrity,Time-MoE,0,Pooled,all,2876,7-12,0.0009621572838194142,0.02148040167134174,2.12593345319361
celebrity,Time-MoE,0,Pooled,all,2876,13-24,0.002070374675236571,0.030430829453838605,2.9855535020841546
celebrity,Time-MoE,0,Pooled,event,288,avg24,0.0014682702284520802,0.022908484476997896,2.2519911655604683
celebrity,Time-MoE,0,Pooled,event,288,1-6,0.00029346222936798704,0.010863572566045655,1.0818028333226342
celebrity,Time-MoE,0,Pooled,event,288,7-12,0.0011097563908724546,0.02140739832625345,2.115122089275589
celebrity,Time-MoE,0,Pooled,event,288,13-24,0.0022349311467839395,0.029681483507846242,2.9055198698218256
news,Time-MoE,0,BTC,all,2184,avg24,0.00021453196453487952,0.010275940014488017,1.0260438272118355
news,Time-MoE,0,BTC,all,2184,1-6,5.648950792554218e-05,0.005076241148555278,0.5075450582362231
news,Time-MoE,0,BTC,all,2184,7-12,0.00016865422772883168,0.009459363118364785,0.9452083501653075
news,Time-MoE,0,BTC,all,2184,13-24,0.0003164920612425721,0.013284077895516003,1.3257109502229059
news,Time-MoE,0,BTC,event,50,avg24,0.00021197076827734917,0.011004534846315908,1.1009481207681164
news,Time-MoE,0,BTC,event,50,1-6,7.495860079337497e-05,0.006075784133274266,0.6103486082008684
news,Time-MoE,0,BTC,event,50,7-12,0.00018972719757750885,0.010814179995281597,1.084440192781088
news,Time-MoE,0,BTC,event,50,13-24,0.0002915986373692564,0.013564087628353884,1.3545018410452547
news,Time-MoE,0,ETH,all,2184,avg24,0.0011652216555321432,0.02433157260328893,2.408248908586165
news,Time-MoE,0,ETH,all,2184,1-6,0.0002728934427210149,0.011283114118192175,1.1241858452875828
news,Time-MoE,0,ETH,all,2184,7-12,0.0008720448484231965,0.022124708065187106,2.1977249738528544
news,Time-MoE,0,ETH,all,2184,13-24,0.001757974165492181,0.03195923411488822,3.1555424076021112
news,Time-MoE,0,ETH,event,10,avg24,0.0015152483317477322,0.028255961974400483,2.741577769186342
news,Time-MoE,0,ETH,event,10,1-6,0.0002625962131626369,0.011451000008694362,1.1279700546941454
news,Time-MoE,0,ETH,event,10,7-12,0.001192480146645298,0.026915137750004998,2.6303076843090114
news,Time-MoE,0,ETH,event,10,13-24,0.002302958483591498,0.037328855069451286,3.6040166688711053
news,Time-MoE,0,SOL,all,2184,avg24,0.001149875604266104,0.025123748655179256,2.5023022813639666
news,Time-MoE,0,SOL,all,2184,1-6,0.0002939781691404389,0.012284423875708933,1.226096418504116
news,Time-MoE,0,SOL,all,2184,7-12,0.0008901948476394125,0.02307237830473038,2.3013229062126235
news,Time-MoE,0,SOL,all,2184,13-24,0.0017076647001422818,0.03256909622013886,3.2408949003695637
news,Time-MoE,0,SOL,event,1,avg24,0.00020369142396245348,0.011519745374090487,1.175352588374783
news,Time-MoE,0,SOL,event,1,1-6,4.858078520548483e-05,0.006283118727409461,0.6350621634963597
news,Time-MoE,0,SOL,event,1,7-12,0.00013763502225816517,0.010339010784559954,1.05220568952542
news,Time-MoE,0,SOL,event,1,13-24,0.000314274944193082,0.014728425992196268,1.507071250238676
news,Time-MoE,0,DOGE,all,2184,avg24,0.001632135875036314,0.029173596013320008,2.903883788608363
news,Time-MoE,0,DOGE,all,2184,1-6,0.0004128878791272754,0.014216670144780763,1.419026245075624
news,Time-MoE,0,DOGE,all,2184,7-12,0.001237492785689242,0.02654255072149392,2.644828756192313
news,Time-MoE,0,DOGE,all,2184,13-24,0.0024390814176643697,0.037967581593502685,3.775840076582757
news,Time-MoE,0,Pooled,all,8736,avg24,0.0010404412748423603,0.022226214321569054,2.2101197014425824
news,Time-MoE,0,Pooled,all,8736,1-6,0.00025906224972856786,0.010715112321809288,1.0692133917758864
news,Time-MoE,0,Pooled,all,8736,7-12,0.0007920966773701708,0.020299750052444044,2.0222712466057744
news,Time-MoE,0,Pooled,all,8736,13-24,0.001555303086135351,0.028944997456011437,2.874497083694334
news,Time-MoE,0,Pooled,event,61,avg24,0.00042548710090667603,0.013841083728424438,1.371123546207279
