dataset,asset,candidate,reference,metric,n,delta,ci_low,ci_high,p_two_sided,block_days,resamples,interpretation
celebrity,BTC,Time-MoE,Persistence,mse,163,-0.00015026888345394073,-0.0014057442947523252,-0.00028207790502482287,0.9716,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,Persistence,mae,163,-0.0036541299403079434,-0.03367399788279642,-0.005508011862121778,0.9674,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,BTC,Time-MoE,Persistence,mape,163,-0.3620456966586675,-3.3284438337857676,-0.5478974735321714,0.9674,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,Persistence,mse,98,-0.0014969510204969258,-0.009502009192486675,-0.001135676062481265,0.8294,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,Persistence,mae,98,-0.010383502611903107,-0.061754254568582294,-0.0117194328457117,0.8606,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,DOGE,Time-MoE,Persistence,mape,98,-1.0103905312498769,-5.929768868417728,-1.1556041935554175,0.8668,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,Persistence,mse,15,-0.0018527981250347487,-0.005046673438647806,0.00040719635997952,0.4648,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,Persistence,mae,15,-0.005664595133728451,-0.01864591427147388,0.004484426437152758,0.4712,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,ETH,Time-MoE,Persistence,mape,15,-0.48176897879466424,-1.6873225947104464,0.482900147723786,0.495,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,Persistence,mse,12,-0.0001638742153004833,-0.00044611128127547417,5.281316455431432e-05,0.348,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,Persistence,mae,12,-0.002680369135406282,-0.007774218916893004,0.0013413329919179286,0.3726,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,SOL,Time-MoE,Persistence,mape,12,-0.26601213739874713,-0.7826499272619234,0.14422079750493025,0.3726,7,4999,positive favors Time-MoE; descriptive comparison
celebrity,Pooled,Time-MoE,Persistence,mse,288,-0.0006977551752458958,-0.013172401155464553,-0.001435751197951264,0.9766,7,4999,positive favors Time-MoE; descriptive comparison
