method_or_variant,cohort,MSE_x1e3,MAE_x1e2,MAPE_pct
Persistence,Celebrity events,0.77052,1.69004,1.66709
Persistence,News extension,0.29355,1.18851,1.17952
Persistence,Macro crypto,0.83228,2.07600,2.08960
Persistence,Macro equities,0.12917,0.83780,0.84204
DLinear,Celebrity events,0.91826,1.90757,1.87894
DLinear,News extension,0.41033,1.43537,1.42205
DLinear,Macro crypto,0.90287,2.19579,2.21258
DLinear,Macro equities,0.20139,1.14871,1.15083
GPT4TS,Celebrity events,0.94757,1.86991,1.85010
GPT4TS,News extension,0.30436,1.19922,1.18919
GPT4TS,Macro crypto,0.85595,2.10147,2.11765
GPT4TS,Macro equities,0.16474,0.97754,0.98286
PatchTST,Celebrity events,1.35421,2.21099,2.18146
PatchTST,News extension,0.39814,1.35129,1.33804
PatchTST,Macro crypto,1.09775,2.40025,2.41861
PatchTST,Macro equities,0.30944,1.27346,1.27916
iTransformer,Celebrity events,1.35719,2.20417,2.17109
iTransformer,News extension,0.38716,1.36651,1.35332
iTransformer,Macro crypto,1.24934,2.52978,2.55176
iTransformer,Macro equities,0.27950,1.24577,1.24917
TimesNet,Celebrity events,1.28604,2.18051,2.14036
TimesNet,News extension,0.43382,1.39458,1.38109
TimesNet,Macro crypto,1.49577,2.78680,2.81560
TimesNet,Macro equities,0.30640,1.33303,1.33807
Time-LLM,Celebrity events,0.97559,1.87861,1.84509
Time-LLM,News extension,0.31568,1.18681,1.17458
Time-LLM,Macro crypto,0.94044,2.25352,2.26913
Time-LLM,Macro equities,0.15999,0.98954,0.99334
CAMEF,Celebrity events,0.84006,1.84039,1.81391
CAMEF,News extension,0.36687,1.38901,1.37757
CAMEF,Macro crypto,0.83987,2.09482,2.10655
CAMEF,Macro equities,0.31838,1.51249,1.50798
Time-MoE,Celebrity events,1.46827,2.29085,2.25199
Time-MoE,News extension,0.42549,1.38411,1.37112
Time-MoE,Macro crypto,1.33620,2.69795,2.72397
Time-MoE,Macro equities,0.17004,1.00844,1.01245
NSRC (ours),Celebrity events,0.77448,1.68974,1.66632
NSRC (ours),News extension,0.29310,1.18509,1.17633
NSRC (ours),Macro crypto,0.83228,2.07600,2.08960
NSRC (ours),Macro equities,0.12917,0.83780,0.84204
