dataset,family,horizon,metric,delta,wins,ties,n_origins,improved_fraction
celebrity,route_vs_dlinear,1,mse,2.3309676731826342e-05,266,0,288,0.9236111111111112
celebrity,route_vs_dlinear,1,mae,0.0017786570592759501,243,0,288,0.84375
celebrity,route_vs_dlinear,1,mape,0.17737552133077872,243,0,288,0.84375
celebrity,route_vs_dlinear,2,mse,7.143431761621933e-05,271,0,288,0.9409722222222222
celebrity,route_vs_dlinear,2,mae,0.0031962224249490953,240,0,288,0.8333333333333334
celebrity,route_vs_dlinear,2,mape,0.3190267782283594,240,0,288,0.8333333333333334
celebrity,route_vs_dlinear,3,mse,4.669702968252127e-05,228,0,288,0.7916666666666666
celebrity,route_vs_dlinear,3,mae,0.0018288443669509118,211,0,288,0.7326388888888888
celebrity,route_vs_dlinear,3,mape,0.18508384816256523,211,0,288,0.7326388888888888
celebrity,route_vs_dlinear,4,mse,5.255652925053091e-05,196,0,288,0.6805555555555556
celebrity,route_vs_dlinear,4,mae,0.0021409328548577184,188,0,288,0.6527777777777778
celebrity,route_vs_dlinear,4,mape,0.2184316627410859,188,0,288,0.6527777777777778
celebrity,route_vs_dlinear,5,mse,5.030626899609952e-05,203,0,288,0.7048611111111112
celebrity,route_vs_dlinear,5,mae,0.0013719488217303769,190,0,288,0.6597222222222222
celebrity,route_vs_dlinear,5,mape,0.13307184843571887,190,0,288,0.6597222222222222
celebrity,route_vs_dlinear,6,mse,4.353911739620575e-05,222,0,288,0.7708333333333334
celebrity,route_vs_dlinear,6,mae,0.0011317570602900444,201,0,288,0.6979166666666666
celebrity,route_vs_dlinear,6,mape,0.11265854155828488,201,0,288,0.6979166666666666
celebrity,route_vs_dlinear,7,mse,9.30749428636666e-05,248,0,288,0.8611111111111112
celebrity,route_vs_dlinear,7,mae,0.0024586695273844856,221,0,288,0.7673611111111112
celebrity,route_vs_dlinear,7,mape,0.24380281234258622,221,0,288,0.7673611111111112
celebrity,route_vs_dlinear,8,mse,7.642832138580848e-05,225,0,288,0.78125
celebrity,route_vs_dlinear,8,mae,0.001980872484846642,213,0,288,0.7395833333333334
celebrity,route_vs_dlinear,8,mape,0.20095278990951307,213,0,288,0.7395833333333334
celebrity,route_vs_dlinear,9,mse,7.40237838376256e-05,219,0,288,0.7604166666666666
celebrity,route_vs_dlinear,9,mae,0.0016140110575807562,199,0,288,0.6909722222222222
celebrity,route_vs_dlinear,9,mape,0.16476035647994458,199,0,288,0.6909722222222222
celebrity,route_vs_dlinear,10,mse,0.0001245020752840037,241,0,288,0.8368055555555556
celebrity,route_vs_dlinear,10,mae,0.002541636068729428,224,0,288,0.7777777777777778
celebrity,route_vs_dlinear,10,mape,0.2574371106954725,224,0,288,0.7777777777777778
celebrity,route_vs_dlinear,11,mse,0.00015113089074020986,244,0,288,0.8472222222222222
celebrity,route_vs_dlinear,11,mae,0.0029237945024266038,216,0,288,0.75
celebrity,route_vs_dlinear,11,mape,0.2903404791263381,216,0,288,0.75
celebrity,route_vs_dlinear,12,mse,0.00014042899831723292,231,0,288,0.8020833333333334
celebrity,route_vs_dlinear,12,mae,0.0020874819576803924,201,0,288,0.6979166666666666
celebrity,route_vs_dlinear,12,mape,0.20570236042820567,201,0,288,0.6979166666666666
celebrity,route_vs_dlinear,13,mse,0.00018829350601811093,230,0,288,0.7986111111111112
celebrity,route_vs_dlinear,13,mae,0.0027875782212642337,202,0,288,0.7013888888888888
celebrity,route_vs_dlinear,13,mape,0.2723242120305191,202,0,288,0.7013888888888888
celebrity,route_vs_dlinear,14,mse,9.351391581290659e-05,183,0,288,0.6354166666666666
celebrity,route_vs_dlinear,14,mae,0.0007258775356877551,170,0,288,0.5902777777777778
celebrity,route_vs_dlinear,14,mape,0.06963201791514774,170,0,288,0.5902777777777778
celebrity,route_vs_dlinear,15,mse,9.446077745794725e-05,164,0,288,0.5694444444444444
celebrity,route_vs_dlinear,15,mae,0.0008934343329233085,154,0,288,0.5347222222222222
celebrity,route_vs_dlinear,15,mape,0.08370891913540365,154,0,288,0.5347222222222222
celebrity,route_vs_dlinear,16,mse,9.769652985734857e-05,161,0,288,0.5590277777777778
celebrity,route_vs_dlinear,16,mae,0.0008674367788190495,158,0,288,0.5486111111111112
celebrity,route_vs_dlinear,16,mape,0.08036574337540722,158,0,288,0.5486111111111112
celebrity,route_vs_dlinear,17,mse,0.00016679290129959596,176,0,288,0.6111111111111112
celebrity,route_vs_dlinear,17,mae,0.0018208010278777437,171,0,288,0.59375
celebrity,route_vs_dlinear,17,mape,0.17082606145396162,171,0,288,0.59375
celebrity,route_vs_dlinear,18,mse,0.00017036338009926793,201,0,288,0.6979166666666666
celebrity,route_vs_dlinear,18,mae,0.002038317268263241,179,0,288,0.6215277777777778
celebrity,route_vs_dlinear,18,mape,0.19532927801536915,179,0,288,0.6215277777777778
celebrity,route_vs_dlinear,19,mse,0.0002196994685111801,193,0,288,0.6701388888888888
celebrity,route_vs_dlinear,19,mae,0.0028520129031621142,186,0,288,0.6458333333333334
celebrity,route_vs_dlinear,19,mape,0.2708142313393885,186,0,288,0.6458333333333334
celebrity,route_vs_dlinear,20,mse,0.00021464573141772832,201,0,288,0.6979166666666666
celebrity,route_vs_dlinear,20,mae,0.002588236139276367,183,0,288,0.6354166666666666
celebrity,route_vs_dlinear,20,mape,0.24754476607913714,183,0,288,0.6354166666666666
celebrity,route_vs_dlinear,21,mse,0.00019703820707242455,187,0,288,0.6493055555555556
celebrity,route_vs_dlinear,21,mae,0.0021073727065614853,177,0,288,0.6145833333333334
celebrity,route_vs_dlinear,21,mape,0.20017941559250155,177,0,288,0.6145833333333334
celebrity,route_vs_dlinear,22,mse,0.00023228509206771523,172,0,288,0.5972222222222222
celebrity,route_vs_dlinear,22,mae,0.0019228456699387998,166,0,288,0.5763888888888888
celebrity,route_vs_dlinear,22,mape,0.17820851616132624,166,0,288,0.5763888888888888
celebrity,route_vs_dlinear,23,mse,0.0004670259908366731,230,0,288,0.7986111111111112
celebrity,route_vs_dlinear,23,mae,0.004993021203216462,216,0,288,0.75
celebrity,route_vs_dlinear,23,mape,0.4815236249880173,216,0,288,0.75
celebrity,route_vs_dlinear,24,mse,0.00036135394490522684,208,0,288,0.7222222222222222
celebrity,route_vs_dlinear,24,mae,0.0036270360270994496,195,0,288,0.6770833333333334
celebrity,route_vs_dlinear,24,mape,0.3438058868146298,195,0,288,0.6770833333333334
celebrity,semantic_vs_arm90,1,mse,1.9112603468571276e-06,221,0,288,0.7673611111111112
celebrity,semantic_vs_arm90,1,mae,0.00013656955165442495,228,0,288,0.7916666666666666
celebrity,semantic_vs_arm90,1,mape,0.013521721879124612,228,0,288,0.7916666666666666
celebrity,semantic_vs_arm90,2,mse,4.41767367134718e-06,220,0,288,0.7638888888888888
celebrity,semantic_vs_arm90,2,mae,0.00024187380136710712,221,0,288,0.7673611111111112
celebrity,semantic_vs_arm90,2,mape,0.02381188299889227,221,0,288,0.7673611111111112
celebrity,semantic_vs_arm90,3,mse,2.295735599524184e-06,256,0,288,0.8888888888888888
celebrity,semantic_vs_arm90,3,mae,9.574341934899654e-05,210,0,288,0.7291666666666666
celebrity,semantic_vs_arm90,3,mape,0.009577648616131328,210,0,288,0.7291666666666666
celebrity,semantic_vs_arm90,4,mse,6.0609822557654575e-06,225,0,288,0.78125
celebrity,semantic_vs_arm90,4,mae,0.00023360602162798068,227,0,288,0.7881944444444444
celebrity,semantic_vs_arm90,4,mape,0.023751966775611224,227,0,288,0.7881944444444444
celebrity,semantic_vs_arm90,5,mse,2.7872663321462756e-06,196,0,288,0.6805555555555556
celebrity,semantic_vs_arm90,5,mae,8.172052091609089e-05,192,0,288,0.6666666666666666
celebrity,semantic_vs_arm90,5,mape,0.007801912885245228,192,0,288,0.6666666666666666
celebrity,semantic_vs_arm90,6,mse,1.4012179017203556e-06,180,0,288,0.625
celebrity,semantic_vs_arm90,6,mae,6.289320997410228e-05,182,0,288,0.6319444444444444
celebrity,semantic_vs_arm90,6,mape,0.005704823240108375,182,0,288,0.6319444444444444
celebrity,semantic_vs_arm90,7,mse,1.023950884919828e-05,218,0,288,0.7569444444444444
celebrity,semantic_vs_arm90,7,mae,0.00029391442319459145,207,0,288,0.71875
celebrity,semantic_vs_arm90,7,mape,0.02878874469336734,207,0,288,0.71875
celebrity,semantic_vs_arm90,8,mse,4.439737476108376e-06,258,0,288,0.8958333333333334
celebrity,semantic_vs_arm90,8,mae,0.00017609095177356358,224,0,288,0.7777777777777778
celebrity,semantic_vs_arm90,8,mape,0.01771232645967713,224,0,288,0.7777777777777778
celebrity,semantic_vs_arm90,9,mse,3.821071209453709e-06,219,0,288,0.7604166666666666
celebrity,semantic_vs_arm90,9,mae,0.00012496973250161118,215,0,288,0.7465277777777778
celebrity,semantic_vs_arm90,9,mape,0.012900821896871242,215,0,288,0.7465277777777778
celebrity,semantic_vs_arm90,10,mse,8.330156876594915e-06,229,0,288,0.7951388888888888
celebrity,semantic_vs_arm90,10,mae,0.00022380437505094072,227,0,288,0.7881944444444444
celebrity,semantic_vs_arm90,10,mape,0.022945526140706766,227,0,288,0.7881944444444444
celebrity,semantic_vs_arm90,11,mse,1.000754711700164e-05,256,0,288,0.8888888888888888
celebrity,semantic_vs_arm90,11,mae,0.0002714421642083481,190,0,288,0.6597222222222222
celebrity,semantic_vs_arm90,11,mape,0.026951640882309155,190,0,288,0.6597222222222222
celebrity,semantic_vs_arm90,12,mse,6.935815348741476e-06,215,0,288,0.7465277777777778
celebrity,semantic_vs_arm90,12,mae,0.00017485401713723058,182,0,288,0.6319444444444444
celebrity,semantic_vs_arm90,12,mape,0.01698448788343178,182,0,288,0.6319444444444444
celebrity,semantic_vs_arm90,13,mse,1.7968223419835554e-05,200,0,288,0.6944444444444444
celebrity,semantic_vs_arm90,13,mae,0.0003471298145042793,203,0,288,0.7048611111111112
celebrity,semantic_vs_arm90,13,mape,0.03341035753508754,203,0,288,0.7048611111111112
celebrity,semantic_vs_arm90,14,mse,-4.6237118699280123e-08,147,0,288,0.5104166666666666
celebrity,semantic_vs_arm90,14,mae,1.17659309027101e-06,149,0,288,0.5173611111111112
celebrity,semantic_vs_arm90,14,mape,-0.0005776642727018772,149,0,288,0.5173611111111112
celebrity,semantic_vs_arm90,15,mse,1.3221358047948658e-06,161,0,288,0.5590277777777778
celebrity,semantic_vs_arm90,15,mae,3.165018439573681e-05,165,0,288,0.5729166666666666
celebrity,semantic_vs_arm90,15,mape,0.002138535875522831,165,0,288,0.5729166666666666
celebrity,semantic_vs_arm90,16,mse,2.2523757166882535e-06,156,0,288,0.5416666666666666
celebrity,semantic_vs_arm90,16,mae,1.5732248251813957e-05,157,0,288,0.5451388888888888
celebrity,semantic_vs_arm90,16,mape,0.00029040810024141904,157,0,288,0.5451388888888888
celebrity,semantic_vs_arm90,17,mse,1.3723658113963791e-05,183,0,288,0.6354166666666666
celebrity,semantic_vs_arm90,17,mae,0.0001873682636213723,186,0,288,0.6458333333333334
celebrity,semantic_vs_arm90,17,mape,0.016510211819344072,186,0,288,0.6458333333333334
celebrity,semantic_vs_arm90,18,mse,7.612896280773193e-06,181,0,288,0.6284722222222222
celebrity,semantic_vs_arm90,18,mae,0.00010768493719089894,181,0,288,0.6284722222222222
celebrity,semantic_vs_arm90,18,mape,0.009506014861911759,181,0,288,0.6284722222222222
celebrity,semantic_vs_arm90,19,mse,1.2130893019061848e-05,181,0,288,0.6284722222222222
celebrity,semantic_vs_arm90,19,mae,0.0001659417065034936,186,0,288,0.6458333333333334
celebrity,semantic_vs_arm90,19,mape,0.014634007459635544,186,0,288,0.6458333333333334
celebrity,semantic_vs_arm90,20,mse,7.475913043331678e-06,171,0,288,0.59375
celebrity,semantic_vs_arm90,20,mae,8.450561274081262e-05,173,0,288,0.6006944444444444
celebrity,semantic_vs_arm90,20,mape,0.007041065640059168,173,0,288,0.6006944444444444
celebrity,semantic_vs_arm90,21,mse,1.1507818727397419e-05,174,0,288,0.6041666666666666
celebrity,semantic_vs_arm90,21,mae,0.00010671475244842083,175,0,288,0.6076388888888888
celebrity,semantic_vs_arm90,21,mape,0.00858435667533718,175,0,288,0.6076388888888888
celebrity,semantic_vs_arm90,22,mse,5.193264027494405e-06,160,0,288,0.5555555555555556
celebrity,semantic_vs_arm90,22,mae,3.704072530192061e-05,159,0,288,0.5520833333333334
celebrity,semantic_vs_arm90,22,mape,0.0017769679969257307,159,0,288,0.5520833333333334
celebrity,semantic_vs_arm90,23,mse,4.139785362804203e-05,200,0,288,0.6944444444444444
celebrity,semantic_vs_arm90,23,mae,0.0005469263013933956,200,0,288,0.6944444444444444
celebrity,semantic_vs_arm90,23,mape,0.052261349395848075,200,0,288,0.6944444444444444
celebrity,semantic_vs_arm90,24,mse,2.9895658093471943e-05,195,0,288,0.6770833333333334
celebrity,semantic_vs_arm90,24,mae,0.00037394019721845865,195,0,288,0.6770833333333334
celebrity,semantic_vs_arm90,24,mape,0.033719170284034414,195,0,288,0.6770833333333334
news,route_vs_dlinear,1,mse,2.170894597394205e-05,59,0,61,0.9672131147540983
news,route_vs_dlinear,1,mae,0.0020976632692020812,56,0,61,0.9180327868852459
news,route_vs_dlinear,1,mape,0.20967973504907292,56,0,61,0.9180327868852459
news,route_vs_dlinear,2,mse,7.425161696619671e-05,61,0,61,1.0
news,route_vs_dlinear,2,mae,0.00441818309940968,57,0,61,0.9344262295081968
news,route_vs_dlinear,2,mape,0.4416271192490385,57,0,61,0.9344262295081968
news,route_vs_dlinear,3,mse,5.544940186305442e-05,54,0,61,0.8852459016393442
news,route_vs_dlinear,3,mae,0.003311667909882432,52,0,61,0.8524590163934426
news,route_vs_dlinear,3,mape,0.3325444462556746,52,0,61,0.8524590163934426
news,route_vs_dlinear,4,mse,6.933582689174456e-05,46,0,61,0.7540983606557377
news,route_vs_dlinear,4,mae,0.0032931536421717013,46,0,61,0.7540983606557377
news,route_vs_dlinear,4,mape,0.3323210291686486,46,0,61,0.7540983606557377
