dataset,family,period,metric,delta,wins,n_origins,improved_fraction
celebrity,route_vs_dlinear,early,mse,0.00021100576124258828,115,140,0.8214285714285714
celebrity,route_vs_dlinear,early,mae,0.0026361128623618524,108,140,0.7714285714285715
celebrity,route_vs_dlinear,early,mape,0.2532908070495982,109,140,0.7785714285714286
celebrity,route_vs_dlinear,late,mse,8.01784472671254e-05,109,148,0.7364864864864865
celebrity,route_vs_dlinear,late,mae,0.0017452011843165519,104,148,0.7027027027027027
celebrity,route_vs_dlinear,late,mape,0.17414978649413648,104,148,0.7027027027027027
celebrity,semantic_vs_arm90,early,mse,1.2593163142132934e-05,118,140,0.8428571428571429
celebrity,semantic_vs_arm90,early,mae,0.00019368159873002768,116,140,0.8285714285714286
celebrity,semantic_vs_arm90,early,mape,0.018245132756106477,114,140,0.8142857142857143
celebrity,semantic_vs_arm90,late,mse,5.364501817491618e-06,100,148,0.6756756756756757
celebrity,semantic_vs_arm90,late,mae,0.0001511087735323406,93,148,0.6283783783783784
celebrity,semantic_vs_arm90,late,mape,0.014342302992011939,93,148,0.6283783783783784
news,route_vs_dlinear,early,mse,9.345919136830754e-05,30,33,0.9090909090909091
news,route_vs_dlinear,early,mae,0.0027445985836394866,29,33,0.8787878787878788
news,route_vs_dlinear,early,mape,0.27071418715889656,29,33,0.8787878787878788
news,route_vs_dlinear,late,mse,0.0001452459594341854,23,28,0.8214285714285714
news,route_vs_dlinear,late,mae,0.0022177551943056,21,28,0.75
news,route_vs_dlinear,late,mape,0.21627541539446923,21,28,0.75
news,semantic_vs_arm90,early,mse,-1.8063832654049164e-07,14,33,0.42424242424242425
news,semantic_vs_arm90,early,mae,-3.7092530448778635e-05,14,33,0.42424242424242425
news,semantic_vs_arm90,early,mape,-0.0032550551619817967,14,33,0.42424242424242425
news,semantic_vs_arm90,late,mse,-1.039561720538046e-05,16,28,0.5714285714285714
news,semantic_vs_arm90,late,mae,-9.999437832800725e-05,12,28,0.42857142857142855
news,semantic_vs_arm90,late,mape,-0.008948963436170824,12,28,0.42857142857142855
macro_crypto,route_vs_dlinear,early,mse,-1.3738775928918156e-07,44,72,0.6111111111111112
macro_crypto,route_vs_dlinear,early,mae,5.455883104858901e-06,36,72,0.5
macro_crypto,route_vs_dlinear,early,mape,0.0019118904555092994,36,72,0.5
macro_crypto,route_vs_dlinear,late,mse,0.00012594624933642533,77,92,0.8369565217391305
macro_crypto,route_vs_dlinear,late,mae,0.0021311609425406527,72,92,0.782608695652174
macro_crypto,route_vs_dlinear,late,mape,0.21772682214075326,73,92,0.7934782608695652
macro_crypto,semantic_vs_arm90,early,mse,-1.0283488571409217e-05,33,72,0.4583333333333333
macro_crypto,semantic_vs_arm90,early,mae,-0.00011469495562805283,36,72,0.5
macro_crypto,semantic_vs_arm90,early,mape,-0.012516666634145825,36,72,0.5
macro_crypto,semantic_vs_arm90,late,mse,-1.6156225007627896e-05,17,92,0.18478260869565216
macro_crypto,semantic_vs_arm90,late,mae,-0.00033472584150168573,19,92,0.20652173913043478
macro_crypto,semantic_vs_arm90,late,mape,-0.032989699019832834,19,92,0.20652173913043478
macro_equities,route_vs_dlinear,early,mse,2.761164781282977e-05,35,51,0.6862745098039216
macro_equities,route_vs_dlinear,early,mae,0.0011930608703939484,35,51,0.6862745098039216
macro_equities,route_vs_dlinear,early,mape,0.1162515207219413,35,51,0.6862745098039216
macro_equities,route_vs_dlinear,late,mse,0.00010669217059865554,60,66,0.9090909090909091
macro_equities,route_vs_dlinear,late,mae,0.00458973315027025,60,66,0.9090909090909091
macro_equities,route_vs_dlinear,late,mape,0.45758206138430707,60,66,0.9090909090909091
macro_equities,semantic_vs_arm90,early,mse,2.3398175277566338e-05,30,51,0.5882352941176471
macro_equities,semantic_vs_arm90,early,mae,0.0007008605528345252,31,51,0.6078431372549019
macro_equities,semantic_vs_arm90,early,mape,0.06992351336225308,31,51,0.6078431372549019
macro_equities,semantic_vs_arm90,late,mse,6.585704244450962e-06,44,66,0.6666666666666666
macro_equities,semantic_vs_arm90,late,mae,0.00041138055432622986,41,66,0.6212121212121212
macro_equities,semantic_vs_arm90,late,mape,0.0411887730919408,41,66,0.6212121212121212
