dataset,method,metric,mean,std,min,max,seed_2026,seed_2027,seed_2028
celebrity,DLinear,mse,0.0009182574806642091,1.870682711146458e-05,0.0008973809726372322,0.0009334992687962298,0.0009238922005591651,0.0008973809726372322,0.0009334992687962298
celebrity,DLinear,mae,0.019075705287518143,0.00038393082168606505,0.01870802393252099,0.019474046994690544,0.019474046994690544,0.01870802393252099,0.01904504493534289
celebrity,DLinear,mape,1.87894085333055,0.0400098404933338,1.8417564960789876,1.9212770842251237,1.9212770842251237,1.8417564960789876,1.8737889796875389
celebrity,ARM90,mse,0.0009071092827449976,1.4885295895917778e-05,0.0008973809726372322,0.0009242450318576971,0.0008997018437400634,0.0008973809726372322,0.0009242450318576971
celebrity,ARM90,mae,0.01883802201034727,0.00013088809132862984,0.01870802393252099,0.018969782320014915,0.018969782320014915,0.01870802393252099,0.01883625977850591
celebrity,ARM90,mape,1.8562937054565782,0.015601829587576714,1.8417564960789876,1.872777473959102,1.872777473959102,1.8417564960789876,1.8543471463316448
celebrity,NSRC,mse,0.0008982308483391372,1.3103323302198221e-05,0.0008855488026422775,0.0009117182947174877,0.0008855488026422775,0.0008974254476576467,0.0009117182947174877
celebrity,NSRC,mae,0.01866621811345492,5.04670024595351e-05,0.01861046073838722,0.018708768361281415,0.018679425240696122,0.018708768361281415,0.01861046073838722
celebrity,NSRC,mape,1.8400541935514612,0.00592217151866278,1.833446375658453,1.8448827901761773,1.8448827901761773,1.8418334148197528,1.833446375658453
celebrity,NSRC_Route,mse,0.000774482422436789,9.768242279997551e-07,0.0007735014556797725,0.0007754550507505902,0.0007735014556797725,0.0007744907608800042,0.0007754550507505902
celebrity,NSRC_Route,mae,0.016897422037485125,5.002780274013843e-06,0.016894138569046795,0.016903179830101707,0.016903179830101707,0.016894138569046795,0.01689494771330688
celebrity,NSRC_Route,mape,1.6663197373997323,0.0008196722298358768,1.6658439918304242,1.6672662089279127,1.6672662089279127,1.6658439918304242,1.6658490114408604
news,DLinear,mse,0.00041032583707043094,1.7255063159391623e-05,0.0003907235089190762,0.0004232171067947147,0.00041703689549750175,0.0003907235089190762,0.0004232171067947147
news,DLinear,mae,0.014353673173559102,0.00032104817050769574,0.014038060054158023,0.014679893500312038,0.014679893500312038,0.014038060054158023,0.014343065966207245
news,DLinear,mape,1.4220537791328463,0.03313460625390142,1.3901567784613158,1.456300862548221,1.456300862548221,1.3901567784613158,1.4197036963890017
news,ARM90,mse,0.00031763575860272857,5.018200673898701e-06,0.00031274455044068717,0.0003227719760042028,0.0003227719760042028,0.00031274455044068717,0.0003173907493632958
news,ARM90,mae,0.012269320595578085,0.0001226099116587718,0.012197128119318413,0.012410888987452852,0.012410888987452852,0.012199944679962991,0.012197128119318413
news,ARM90,mape,1.2200940373549625,0.012387544946405834,1.212584753810624,1.2343918885667318,1.2343918885667318,1.2133054696875318,1.212584753810624
news,NSRC,mse,0.0003225052396933264,3.46048767115031e-06,0.000318698568084098,0.0003254606750021721,0.0003254606750021721,0.000318698568084098,0.00032335647599370903
news,NSRC,mae,0.012335286105381253,0.00011547846917696621,0.012259303124243805,0.012468173416598493,0.012468173416598493,0.012278381775301462,0.012259303124243805
news,NSRC,mape,1.2259626897575557,0.011829334492854584,1.2179820276617785,1.2395532775170435,1.2395532775170435,1.2203527640938445,1.2179820276617785
news,NSRC_Route,mse,0.0002930956701964749,2.666339853246785e-07,0.00029293691204876023,0.0002934035018256491,0.0002934035018256491,0.00029294659671501554,0.00029293691204876023
news,NSRC_Route,mae,0.011850904342400747,3.347309839281843e-06,0.011848158259785632,0.011854632963438088,0.011854632963438088,0.011849921803978515,0.011848158259785632
news,NSRC_Route,mape,1.1763278806527036,0.0003543615443984879,1.1760259260347532,1.1767180015601135,1.1767180015601135,1.1762397143632441,1.1760259260347532
macro_crypto,DLinear,mse,0.0009028677852521374,0.00012143539979962336,0.0008132230871115504,0.0010410680085537318,0.00085431226009113,0.0008132230871115504,0.0010410680085537318
macro_crypto,DLinear,mae,0.021957941348273256,0.0018773818719239376,0.020578005313267554,0.024095802696618606,0.02120001603493361,0.020578005313267554,0.024095802696618606
macro_crypto,DLinear,mape,2.2125781214767026,0.19445160206764892,2.071448557002644,2.434381986196393,2.1319038212310706,2.071448557002644,2.434381986196393
macro_crypto,ARM90,mse,0.0008113800553373905,1.4390983686329667e-05,0.0007957233405465876,0.0008240303286310421,0.0008240303286310421,0.0008143864968345416,0.0007957233405465876
macro_crypto,ARM90,mae,0.020665224547689275,6.764020830461758e-05,0.020608078051686393,0.020739905346866597,0.020647690244514835,0.020608078051686393,0.020739905346866597
macro_crypto,ARM90,mape,2.077717844085368,0.004397083215886178,2.074148461292836,2.08262967005944,2.0763754009038284,2.074148461292836,2.08262967005944
macro_crypto,NSRC,mse,0.0008249580058120439,1.242274819108358e-05,0.0008132230871115504,0.0008379699339975978,0.0008379699339975978,0.0008132230871115504,0.0008236809963269833
