dataset,family,candidate,reference,metric,block_days,n_origins,active_days,delta_reference_minus_candidate,ci_low,ci_high,p_two_sided,valid_resamples,route_frozen_on_validation,p_holm
celebrity,route_vs_dlinear,NSRC_Route,DLinear,mse,3,288,30,0.00014377505822741978,6.069059068078731e-06,0.00032969408918908955,0.07724,49999,True,
celebrity,route_vs_dlinear,NSRC_Route,DLinear,mae,3,288,30,0.0021782832500330195,0.000899283380112638,0.003596051028826903,0.00148,49999,True,
celebrity,route_vs_dlinear,NSRC_Route,DLinear,mape,3,288,30,0.2126211159308192,0.08623895165010861,0.3506157007995363,0.00126,49999,True,
celebrity,route_vs_dlinear,NSRC_Route,DLinear,mse,7,288,30,0.00014377505822741978,1.6790914509362718e-05,0.0003072336535377899,0.04862,49999,True,0.19448
celebrity,route_vs_dlinear,NSRC_Route,DLinear,mae,7,288,30,0.0021782832500330195,0.0010908454453480612,0.003347936351362979,0.00018,49999,True,0.0016200000000000001
celebrity,route_vs_dlinear,NSRC_Route,DLinear,mape,7,288,30,0.2126211159308192,0.1057414563273547,0.3245947614650769,8e-05,49999,True,0.0008
celebrity,route_vs_dlinear,NSRC_Route,DLinear,mse,14,288,30,0.00014377505822741978,2.024723346548891e-05,0.0002849819208407635,0.02798,49999,True,
celebrity,route_vs_dlinear,NSRC_Route,DLinear,mae,14,288,30,0.0021782832500330195,0.0012610353285088703,0.0032555376062725055,2e-05,49999,True,
celebrity,route_vs_dlinear,NSRC_Route,DLinear,mape,14,288,30,0.2126211159308192,0.1226575163549475,0.3177910280976089,2e-05,49999,True,
celebrity,semantic_vs_arm90,NSRC,ARM90,mse,3,288,30,8.878434405858933e-06,4.286005081115168e-08,1.8272038664083275e-05,0.05652,49999,True,
celebrity,semantic_vs_arm90,NSRC,ARM90,mae,3,288,30,0.00017180389689232733,6.098281379784603e-05,0.00028702156387258837,0.00212,49999,True,
celebrity,semantic_vs_arm90,NSRC,ARM90,mape,3,288,30,0.016239511905113448,0.0052723996437701185,0.02755695050353322,0.0033,49999,True,
celebrity,semantic_vs_arm90,NSRC,ARM90,mse,7,288,30,8.878434405858933e-06,8.534443382297793e-08,1.7637362275832364e-05,0.04708,49999,True,0.2354
celebrity,semantic_vs_arm90,NSRC,ARM90,mae,7,288,30,0.00017180389689232733,6.319043497761661e-05,0.00027207493884738576,0.00018,49999,True,0.00216
celebrity,semantic_vs_arm90,NSRC,ARM90,mape,7,288,30,0.016239511905113448,0.005725824388749862,0.02602873249087069,0.00038,49999,True,0.0041800000000000006
celebrity,semantic_vs_arm90,NSRC,ARM90,mse,14,288,30,8.878434405858933e-06,1.6660322695140358e-06,1.5693996723025523e-05,0.01216,49999,True,
celebrity,semantic_vs_arm90,NSRC,ARM90,mae,14,288,30,0.00017180389689232733,8.078663472881916e-05,0.0002546475753555353,2e-05,49999,True,
celebrity,semantic_vs_arm90,NSRC,ARM90,mape,14,288,30,0.016239511905113448,0.0076031308245153,0.02418078423535759,4e-05,49999,True,
news,route_vs_dlinear,NSRC_Route,DLinear,mse,3,61,45,0.00011723016687395639,6.341202912165834e-05,0.00017842346942903667,0.00026,49999,True,
news,route_vs_dlinear,NSRC_Route,DLinear,mae,3,61,45,0.002502768831158357,0.001696614829899815,0.003353065948833588,2e-05,49999,True,
news,route_vs_dlinear,NSRC_Route,DLinear,mape,3,61,45,0.24572589848014303,0.16596083655569135,0.3295735409536655,2e-05,49999,True,
news,route_vs_dlinear,NSRC_Route,DLinear,mse,7,61,45,0.00011723016687395639,6.477855423701577e-05,0.0001770669542487451,0.00026,49999,True,0.00208
news,route_vs_dlinear,NSRC_Route,DLinear,mae,7,61,45,0.002502768831158357,0.001701876654090149,0.0033613336227556593,2e-05,49999,True,0.00024000000000000003
news,route_vs_dlinear,NSRC_Route,DLinear,mape,7,61,45,0.24572589848014303,0.1664151025275307,0.33019522503194226,2e-05,49999,True,0.00024000000000000003
news,route_vs_dlinear,NSRC_Route,DLinear,mse,14,61,45,0.00011723016687395639,7.40319266522635e-05,0.00016660049629537357,2e-05,49999,True,
news,route_vs_dlinear,NSRC_Route,DLinear,mae,14,61,45,0.002502768831158357,0.0017824854841785114,0.003281479914962434,2e-05,49999,True,
news,route_vs_dlinear,NSRC_Route,DLinear,mape,14,61,45,0.24572589848014303,0.17458823386220942,0.32271071205099083,2e-05,49999,True,
news,semantic_vs_arm90,NSRC,ARM90,mse,3,61,45,-4.869481090598179e-06,-1.4224278598291128e-05,3.327527674694581e-06,0.26972,49999,True,
