dataset,family,volatility,metric,delta,wins,n_origins,improved_fraction,lower_cut,upper_cut
celebrity,route_vs_dlinear,low,mse,0.00013834150042153288,162,189,0.8571428571428571,0.006586679308011151,0.00959317280350362
celebrity,route_vs_dlinear,low,mae,0.0026204335651024624,153,189,0.8095238095238095,0.006586679308011151,0.00959317280350362
celebrity,route_vs_dlinear,low,mape,0.2582808888290988,153,189,0.8095238095238095,0.006586679308011151,0.00959317280350362
celebrity,route_vs_dlinear,medium,mse,0.0004962819418441272,33,41,0.8048780487804879,0.006586679308011151,0.00959317280350362
celebrity,route_vs_dlinear,medium,mae,0.00464465271058787,32,41,0.7804878048780488,0.006586679308011151,0.00959317280350362
celebrity,route_vs_dlinear,medium,mape,0.45595205179735493,32,41,0.7804878048780488,0.006586679308011151,0.00959317280350362
celebrity,route_vs_dlinear,high,mse,-8.770493837555185e-05,29,58,0.5,0.006586679308011151,0.00959317280350362
celebrity,route_vs_dlinear,high,mae,-0.0010059849815337776,27,58,0.46551724137931033,0.006586679308011151,0.00959317280350362
celebrity,route_vs_dlinear,high,mape,-0.10817656421233247,28,58,0.4827586206896552,0.006586679308011151,0.00959317280350362
celebrity,semantic_vs_arm90,low,mse,7.181371997710284e-06,157,189,0.8306878306878307,0.006586679308011151,0.00959317280350362
celebrity,semantic_vs_arm90,low,mae,0.00020807570152248252,154,189,0.8148148148148148,0.006586679308011151,0.00959317280350362
celebrity,semantic_vs_arm90,low,mape,0.02049584616769146,154,189,0.8148148148148148,0.006586679308011151,0.00959317280350362
celebrity,semantic_vs_arm90,medium,mse,6.226732207848662e-06,26,41,0.6341463414634146,0.006586679308011151,0.00959317280350362
celebrity,semantic_vs_arm90,medium,mae,1.1426825031692646e-05,21,41,0.5121951219512195,0.006586679308011151,0.00959317280350362
celebrity,semantic_vs_arm90,medium,mape,-7.404593838778437e-05,20,41,0.4878048780487805,0.006586679308011151,0.00959317280350362
celebrity,semantic_vs_arm90,high,mse,1.6282996220660887e-05,35,58,0.603448275862069,0.006586679308011151,0.00959317280350362
celebrity,semantic_vs_arm90,high,mae,0.0001669778429472704,34,58,0.5862068965517241,0.006586679308011151,0.00959317280350362
celebrity,semantic_vs_arm90,high,mape,0.013901730800911831,33,58,0.5689655172413793,0.006586679308011151,0.00959317280350362
news,route_vs_dlinear,low,mse,0.00011180965168854819,48,54,0.8888888888888888,0.0063064163420965685,0.009054863696273114
news,route_vs_dlinear,low,mae,0.0026140940880672713,45,54,0.8333333333333334,0.0063064163420965685,0.009054863696273114
news,route_vs_dlinear,low,mape,0.25721746555985314,45,54,0.8333333333333334,0.0063064163420965685,0.009054863696273114
news,route_vs_dlinear,medium,mse,0.00015904556973281991,5,7,0.7142857142857143,0.0063064163420965685,0.009054863696273114
news,route_vs_dlinear,medium,mae,0.0016439739921467438,5,7,0.7142857142857143,0.0063064163420965685,0.009054863696273114
news,route_vs_dlinear,medium,mape,0.15707666672237938,5,7,0.7142857142857143,0.0063064163420965685,0.009054863696273114
news,semantic_vs_arm90,low,mse,-5.968731318480157e-06,26,54,0.48148148148148145,0.0063064163420965685,0.009054863696273114
news,semantic_vs_arm90,low,mae,-9.215748585120027e-05,22,54,0.4074074074074074,0.0063064163420965685,0.009054863696273114
news,semantic_vs_arm90,low,mape,-0.00873742625085805,22,54,0.4074074074074074,0.0063064163420965685,0.009054863696273114
news,semantic_vs_arm90,medium,mse,3.6104492387770793e-06,4,7,0.5714285714285714,0.0063064163420965685,0.009054863696273114
news,semantic_vs_arm90,medium,mae,0.0001360868768529882,4,7,0.5714285714285714,0.0063064163420965685,0.009054863696273114
news,semantic_vs_arm90,medium,mape,0.016261888712593184,4,7,0.5714285714285714,0.0063064163420965685,0.009054863696273114
macro_crypto,route_vs_dlinear,low,mse,8.78459072011778e-05,37,44,0.8409090909090909,0.005878459171153649,0.008223903572622357
macro_crypto,route_vs_dlinear,low,mae,0.002018295736475424,34,44,0.7727272727272727,0.005878459171153649,0.008223903572622357
macro_crypto,route_vs_dlinear,low,mape,0.20543430453101008,34,44,0.7727272727272727,0.005878459171153649,0.008223903572622357
macro_crypto,route_vs_dlinear,medium,mse,0.00010678934994776242,43,52,0.8269230769230769,0.005878459171153649,0.008223903572622357
macro_crypto,route_vs_dlinear,medium,mae,0.0015439875742309114,37,52,0.7115384615384616,0.005878459171153649,0.008223903572622357
macro_crypto,route_vs_dlinear,medium,mape,0.15747564180446522,37,52,0.7115384615384616,0.005878459171153649,0.008223903572622357
macro_crypto,route_vs_dlinear,high,mse,3.174848391392412e-05,41,68,0.6029411764705882,0.005878459171153649,0.008223903572622357
macro_crypto,route_vs_dlinear,high,mae,0.00040245976518182104,37,68,0.5441176470588235,0.005878459171153649,0.008223903572622357
macro_crypto,route_vs_dlinear,high,mape,0.043245308478666575,38,68,0.5588235294117647,0.005878459171153649,0.008223903572622357
macro_crypto,semantic_vs_arm90,low,mse,-8.362437348682494e-06,8,44,0.18181818181818182,0.005878459171153649,0.008223903572622357
macro_crypto,semantic_vs_arm90,low,mae,-0.000252849419468979,9,44,0.20454545454545456,0.005878459171153649,0.008223903572622357
macro_crypto,semantic_vs_arm90,low,mape,-0.025304637083066447,9,44,0.20454545454545456,0.005878459171153649,0.008223903572622357
